Patient,FN + FB,T cell,Vim+ FB,aSMA+ FB,endothelial,mixed FB,quies mix str,quies str
253,0.0,0.0,0.0,0.9440993788819876,0.0,0.0,0.024844720496894408,0.031055900621118012
256,0.0,0.0,0.7376830892143809,0.0039946737683089215,0.0,0.0,0.2569906790945406,0.0013315579227696406
257,0.0,0.0010771992818671453,0.03231597845601436,0.01903052064631957,0.017953321364452424,0.0,0.29084380610412924,0.6387791741472172
258,0.0,0.0,0.0,0.018571428571428572,0.0,0.0,0.2914285714285714,0.69
259,0.018823529411764704,0.0,0.9252941176470588,0.004705882352941176,0.0,0.0029411764705882353,0.029411764705882353,0.018823529411764704
260,0.5144717800289436,0.000723589001447178,0.44500723589001445,0.006512301013024602,0.001447178002894356,0.0,0.029667149059334298,0.002170767004341534
261,0.0,0.05754141238012206,0.0008718395815170009,0.013949433304272014,0.006102877070619006,0.0,0.24498692240627726,0.6765475152571927
267,0.007228915662650603,0.0,0.006024096385542169,0.0024096385542168677,0.0024096385542168677,0.0,0.5409638554216868,0.44096385542168676
269,0.04203056768558952,0.0,0.17685589519650655,0.04912663755458515,0.0,0.06277292576419213,0.5660480349344978,0.10316593886462883
274,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.8333333333333334,0.0
276,0.014448669201520912,0.01026615969581749,0.009505703422053232,0.007984790874524715,0.3931558935361217,0.0,0.39429657794676803,0.1703422053231939
282,0.0,0.0,0.981679389312977,0.0015267175572519084,0.0015267175572519084,0.0,0.015267175572519083,0.0
283,0.0,0.0,0.0,0.0,0.0,0.0,0.001034126163391934,0.9989658738366081
284,0.18181818181818182,0.11888111888111888,0.017482517482517484,0.024475524475524476,0.06993006993006994,0.1048951048951049,0.4825174825174825,0.0
285,0.7780144865786109,0.012356199403493822,0.016616957818491693,0.015764806135492117,0.0008521516829995739,0.005965061780997018,0.10097997443544951,0.06945036216446528
29,0.0,0.0,0.0,0.0,0.0,0.0,0.023605150214592276,0.9763948497854077
3,0.49201277955271566,0.0,0.49201277955271566,0.0,0.0,0.012779552715654952,0.003194888178913738,0.0
31,0.027122049221496736,0.0,0.0020090406830738324,0.04018081366147665,0.0,0.048719236564540434,0.2491210447011552,0.6328478151682572
